strategy,rebal_days,top_n,target,stop,unit_mul,btc_bull,n,pnl,wr,avg
rs_rotation,5,2,30,-20,1.0,False,80,2941919,47.5,3.68
rs_rotation,10,2,30,-20,1.0,False,63,2898138,47.6,4.6
rs_rotation,10,1,20,-15,3.0,False,46,2885619,47.8,2.09
rs_rotation,10,1,25,-20,1.0,True,33,2810507,57.6,8.53
rs_rotation,5,1,30,-20,1.0,False,58,2742910,50.0,4.73
rs_rotation,10,2,25,-20,1.0,False,66,2726545,53.0,4.14
rs_rotation,10,1,40,-20,1.0,False,38,2425830,42.1,6.39
rs_rotation,10,1,25,-20,1.0,False,43,2179252,55.8,5.07
rs_rotation,10,1,20,-15,1.0,True,34,2158329,55.9,6.35
rs_rotation,10,1,20,-15,2.0,False,46,1923746,47.8,2.09
rs_rotation,10,1,30,-20,1.0,False,40,1806447,47.5,4.52
rs_rotation,10,2,20,-15,1.0,False,75,1711476,48.0,2.28
rs_rotation,10,1,20,-15,1.0,False,46,961873,47.8,2.09
