ticker,strategy,target,stop,hold,unit_mul,max_pyr,trail,btc_exit,n,pnl,wr,avg,avg_layers
NVDL,bo10_macd_btc2,60,-25,60,3.0,3,,False,9,14470544,66.7,19.56,2.22
IREN,consec4_btc1,50,-20,45,3.0,3,,False,12,14467672,58.3,16.15,1.75
IREN,consec3_btc2_vol,80,-25,90,2.0,3,-15.0,False,9,14465243,66.7,38.67,2.11
IREN,bo10_macd_btc2,80,-25,90,2.0,3,-15.0,False,13,14421742,46.2,20.73,1.85
CONL,consec4_btc1,60,-25,60,3.0,1,,False,10,14396699,80.0,48.04,1.0
IREN,bb_macd_adx_btc2,80,-30,90,3.0,1,-15.0,False,19,14391383,52.6,25.27,1.0
IREN,rsi_accel_btc2_vol,60,-25,60,2.0,5,,False,9,14386604,66.7,32.23,2.78
PTIR,bo10_macd_btc2,80,-25,90,3.0,3,,False,6,14384073,66.7,35.83,2.0
PTIR,di_cross_surge_btc2,80,-25,120,2.0,5,,True,7,14372022,57.1,28.44,3.14
IREN,consec3_surge,80,-25,90,2.0,3,-15.0,False,22,14330090,36.4,9.78,1.86
PTIR,mstr5_bo10_btc2,100,-30,180,2.0,5,,True,5,14281247,60.0,52.77,2.2
CONL,rsi7_80_btc2,60,-25,60,3.0,3,,False,13,14278250,46.2,14.12,2.15
PTIR,consec3_surge,100,-30,120,2.0,5,,False,9,14262497,33.3,13.86,3.11
IREN,di_cross_surge_btc2,50,-25,45,5.0,1,,False,15,14242669,73.3,19.01,1.0
PTIR,mstr_over5_ret3_btc,100,-30,180,2.0,3,,True,5,14171076,60.0,60.99,2.0
IREN,max_conviction,60,-25,60,3.0,3,,False,9,14151984,55.6,22.37,2.11
PTIR,mstr5_bo10_btc2,100,-30,120,2.0,5,,False,5,14150647,60.0,52.03,2.2
CONL,mstr_over5_ret3_btc,80,-25,90,2.0,5,,False,13,14140764,30.8,9.46,2.46
CONL,consec3_surge,100,-30,180,2.0,5,,True,16,14140228,25.0,9.02,2.25
CONL,bo5_vol_btc2_rsi,80,-25,90,2.0,5,,False,6,14099096,66.7,56.21,2.17
NVDL,bo10_macd_btc2,80,-25,120,2.0,5,,True,9,14071999,66.7,24.33,2.89
NVDL,bb_macd_adx_btc2,50,-20,45,3.0,3,,False,16,14040409,43.8,5.49,1.81
IREN,rsi7_80_btc2,50,-25,45,5.0,1,,False,10,14038395,70.0,28.1,1.0
CONL,consec3_surge,60,-25,60,3.0,3,,False,13,13967578,46.2,14.65,2.15
IREN,di_cross_surge_btc2,60,-25,60,3.0,1,-12.0,False,21,13965342,52.4,22.19,1.0
PTIR,consec3_surge,50,-20,45,3.0,3,,False,12,13944606,58.3,15.88,2.33
IREN,di_cross_surge_btc2,80,-30,90,3.0,1,-15.0,False,17,13925867,52.9,27.33,1.0
PTIR,mstr_rsi_ret3_btc2,100,-30,180,2.0,5,,True,4,13838798,75.0,74.36,2.5
PTIR,mstr_rsi_ret3_btc2,50,-25,45,5.0,1,,False,6,13837338,83.3,46.17,1.0
CONL,rsi_accel_btc2_vol,100,-30,180,2.0,5,,True,10,13816448,30.0,21.55,1.9
IREN,bb_macd_adx_btc2,60,-25,60,3.0,1,,False,15,13815467,66.7,30.73,1.0
