ticker,strategy,pos_mode,target,stop,hold,n,pnl,wr,avg
AMDL,dual_btc_qqq,fixed,20,-20,30,10,1966798,80.0,19.69
AMDL,dual_btc_qqq_pct,fixed,20,-20,30,10,1966798,80.0,19.69
PTIR,btc_ret5_pos_regime1,fixed,15,-15,20,18,1963617,72.2,10.92
CONL,btc_ret20_strong,fixed,15,-20,30,21,1959582,71.4,9.34
CONL,btc_ret20_strong,fixed,25,-15,20,20,1958471,60.0,9.8
PTIR,low_vol_bull,fixed,20,-20,30,13,1950036,61.5,15.02
CONL,low_vol_bull,fixed,30,-20,45,14,1943909,57.1,13.9
NVDL,btc_ret20_strong,fixed,30,-20,45,9,1939766,77.8,21.57
NVDL,variable_size_regime,fixed,15,-20,30,33,1937107,75.8,5.88
CONL,not_friday_bull,fixed,30,-20,45,29,1927912,48.3,6.65
CONL,month_q4_bull,fixed,30,-20,45,17,1918022,52.9,11.29
AMDL,dual_btc_qqq_pct,fixed,30,-20,45,8,1911463,75.0,23.92
AMDL,dual_btc_qqq,fixed,30,-20,45,8,1911463,75.0,23.92
PTIR,btc_ret5_pos_regime1,fixed,20,-20,30,14,1909784,78.6,13.65
CONL,month_q4_bull,fixed,20,-20,30,22,1903881,59.1,8.66
NVDL,triple_ma_bull,fixed,15,-15,20,27,1898894,74.1,7.04
IREN,dual_btc_qqq_strong,fixed,25,-15,20,10,1897072,90.0,18.99
IREN,variable_size_regime,fixed,25,-15,20,33,1893590,54.5,5.74
PTIR,mon_tue_bull,fixed,25,-15,20,17,1888641,70.6,11.12
CONL,month_q4_bull,fixed,25,-20,30,18,1887628,55.6,10.5
IREN,triple_ma_strong_btc,fixed,25,-15,20,16,1887028,68.8,11.81
CONL,triple_ma_strong_btc,fixed,25,-15,20,19,1883087,57.9,9.92
CONL,low_vol_breakout,fixed,30,-20,45,14,1881708,57.1,13.45
PTIR,not_friday_bull,fixed,15,-15,20,29,1880081,72.4,6.49
CONL,triple_ma_strong_btc,fixed,20,-20,30,17,1874826,64.7,11.04
NVDL,btc_regime2_only,fixed,15,-20,30,30,1865664,76.7,6.23
NVDL,mon_tue_bull,fixed,25,-20,30,21,1862394,66.7,8.88
IREN,btc_regime2_only,fixed,25,-15,20,28,1861648,57.1,6.66
IREN,dual_btc_qqq_pct,fixed,15,-15,20,13,1856172,84.6,14.29
IREN,dual_btc_qqq,fixed,15,-15,20,13,1856172,84.6,14.29
IREN,btc_ret5_pos_regime1,fixed,20,-20,30,28,1855653,60.7,6.63
CONL,btc_ret20_strong,fixed,20,-20,30,19,1852491,68.4,9.76
CONL,triple_ma_strong_btc,fixed,25,-20,30,15,1850111,60.0,12.35
CONL,triple_ma_strong_btc,fixed,15,-15,20,21,1848302,61.9,8.81
PTIR,low_vol_bull,fixed,15,-20,30,15,1847380,66.7,12.33
IREN,triple_ma_qqq,fixed,25,-20,30,12,1841360,75.0,15.36
CONL,triple_ma_strong_btc,fixed,15,-20,30,21,1834466,66.7,8.74
NVDL,low_vol_breakout,fixed,15,-20,30,31,1831238,71.0,5.91
IREN,btc_regime2_only,fixed,15,-15,20,36,1829794,63.9,5.09
ROBN,variable_size_regime_var,variable,15,-20,30,13,1825513,76.9,10.78
IREN,btc_ret5_pos_regime1,fixed,25,-20,30,24,1825350,54.2,7.61
IREN,btc_regime2_only,fixed,20,-15,20,31,1812791,54.8,5.85
NVDL,low_vol_bull,fixed,15,-15,20,40,1805601,65.0,4.52
PTIR,btc_regime2_rsi,fixed,20,-15,20,18,1803461,66.7,10.03
IREN,triple_ma_bull,fixed,25,-15,20,23,1801167,56.5,7.84
IREN,triple_ma_bull,fixed,15,-20,30,22,1792232,68.2,8.15
CONL,month_q4_bull,fixed,25,-15,20,23,1785525,52.2,7.77
CONL,btc_ret20_strong,fixed,20,-15,20,21,1781080,61.9,8.49
NVDL,btc_ret5_pos_regime1,fixed,20,-20,30,25,1778800,68.0,7.12
NVDL,triple_ma_bull,fixed,25,-20,30,17,1773192,70.6,10.44
NVDL,btc_regime1plus,fixed,15,-20,30,36,1772152,72.2,4.93
IREN,not_friday_bull,fixed,20,-15,20,38,1768593,52.6,4.66
CONL,mon_tue_bull,fixed,30,-20,45,22,1767957,50.0,8.04
NVDL,btc_regime2_rsi,fixed,15,-20,30,27,1767117,74.1,6.55
CONL,btc_ret5_pos_regime1,fixed,15,-20,30,37,1763333,59.5,4.77
AMDL,dual_btc_qqq,fixed,25,-15,20,12,1761167,66.7,14.69
NVDL,mon_tue_bull,fixed,20,-20,30,23,1758120,65.2,7.65
PTIR,btc_ret5_pos_regime1,fixed,25,-20,30,12,1755345,75.0,14.64
PTIR,btc_regime2_only,fixed,25,-15,20,15,1754271,66.7,11.71
CONL,triple_ma_bull,fixed,15,-20,30,24,1753351,62.5,7.31
NVDL,btc_ret20_strong,fixed,15,-20,30,12,1753307,91.7,14.63
CONL,month_q4_bull,fixed,15,-20,30,25,1751636,60.0,7.01
NVDL,mon_tue_bull,fixed,15,-15,20,33,1747411,63.6,5.3
IREN,btc_rsi_high_regime,fixed,20,-15,20,28,1745959,60.7,6.24
IREN,btc_momentum_entry,fixed,25,-20,30,26,1743234,61.5,6.71
NVDL,triple_ma_bull,fixed,25,-15,20,20,1742020,65.0,8.72
IREN,triple_ma_qqq,fixed,30,-20,45,10,1741117,70.0,17.43
IREN,triple_ma_bull,fixed,20,-15,20,25,1738777,56.0,6.96
NVDL,variable_size_regime,fixed,15,-15,20,39,1735393,64.1,4.45
CONL,triple_ma_strong_btc,fixed,30,-20,45,14,1734466,57.1,12.4
ROBN,btc_ret5_pos_regime1,fixed,30,-20,45,10,1731270,70.0,17.33
IREN,btc_momentum_entry,fixed,15,-15,20,35,1729770,62.9,4.95
PTIR,btc_ret20_strong,fixed,15,-20,30,9,1723585,100.0,19.17
IREN,triple_ma_qqq,fixed,15,-15,20,18,1713097,72.2,9.53
