ticker,signal,thresh,direction,target,stop,hold,n,pnl,wr,avg
IREN,btc_ret3,3,above,12,-10,20,59,2317342,57.6,3.93
CONL,mstr_rsi,60,above,25,-15,20,36,2305409,44.4,6.41
IREN,mstr_rsi,35,below,25,-20,30,28,2295642,53.6,8.21
PTIR,btc_pct_ma20,0,above,20,-20,30,26,2292109,61.5,8.82
PTIR,mstr_pct_ma20,5,above,12,-10,20,28,2291940,75.0,8.19
IREN,btc_ret3,3,above,15,-20,30,44,2291471,63.6,5.21
IREN,mstr_rsi,35,below,30,-20,45,27,2287581,55.6,8.48
CONL,btc_rsi,40,above,25,-15,20,77,2284974,39.0,2.97
PTIR,btc_momentum3,0,above,25,-15,20,31,2284886,61.3,7.38
IREN,btc_ret3,3,above,15,-15,20,48,2279411,58.3,4.75
CONL,mstr_rsi,60,above,25,-20,30,28,2272129,50.0,8.12
IREN,btc_mstr_combo,60,above,20,-20,30,30,2271791,63.3,7.58
IREN,btc_pct_ma20,5,above,25,-20,30,24,2267213,62.5,9.46
IREN,btc_pct_ma20,0,above,25,-15,20,49,2262375,53.1,4.62
CONL,btc_pct_ma20,-5,above,30,-20,45,57,2259621,43.9,3.97
PTIR,btc_rsi,40,above,25,-15,20,31,2256184,58.1,7.29
IREN,btc_pct_ma20,0,above,15,-15,20,54,2255429,57.4,4.18
CONL,btc_rsi,60,above,15,-20,30,45,2249611,62.2,5.0
IREN,btc_pct_ma20,5,above,25,-15,20,26,2249499,61.5,8.66
IREN,btc_ret3,5,above,30,-20,45,20,2246687,65.0,11.24
CONL,btc_pct_ma20,-5,above,15,-20,30,81,2244346,54.3,2.77
IREN,btc_ret3,3,above,20,-20,30,36,2234235,61.1,6.21
PTIR,btc_ret3,5,above,15,-20,30,16,2226556,87.5,13.93
PTIR,btc_mstr_combo,60,above,20,-15,20,16,2223653,75.0,13.91
CONL,mstr_rsi,60,above,20,-20,30,34,2218213,55.9,6.53
IREN,btc_mstr_combo,60,above,20,-15,20,31,2212243,58.1,7.14
NVDL,btc_rsi,40,above,15,-20,30,49,2209567,65.3,4.51
PTIR,btc_momentum3,0,above,15,-15,20,45,2196219,64.4,4.89
PTIR,btc_ret3,3,above,25,-20,30,19,2194003,68.4,11.56
NVDL,btc_rsi,40,above,20,-15,20,55,2188014,56.4,3.98
IREN,btc_rsi,35,below,30,-20,45,21,2177441,61.9,10.38
CONL,btc_rsi,60,above,20,-15,20,44,2170388,54.5,4.94
NVDL,btc_ret3,3,above,25,-20,30,31,2168596,64.5,7.0
NVDL,btc_pct_ma20,-5,above,25,-20,30,44,2167967,56.8,4.93
NVDL,btc_rsi,40,above,15,-15,20,58,2160342,58.6,3.73
CONL,btc_ret3,3,above,15,-15,20,56,2159213,55.4,3.86
IREN,mstr_pct_ma20,0,above,15,-15,20,44,2142264,59.1,4.87
NVDL,mstr_rsi,55,above,25,-20,30,26,2131155,73.1,8.2
NVDL,btc_momentum3,0,above,30,-20,45,30,2127917,53.3,7.1
CONL,btc_ret3,5,above,20,-15,20,36,2127204,58.3,5.91
PTIR,btc_mstr_combo,55,above,12,-10,20,31,2125722,67.7,6.86
CONL,btc_ret3,5,above,15,-20,30,34,2114387,64.7,6.23
PTIR,btc_rsi,50,above,12,-10,20,42,2098127,61.9,5.0
PTIR,btc_pct_ma20,0,above,25,-15,20,26,2096187,65.4,8.07
PTIR,btc_pct_ma20,-5,above,30,-20,45,25,2080093,52.0,8.33
CONL,btc_rsi,50,above,15,-15,20,69,2078340,50.7,3.02
NVDL,btc_pct_ma20,-5,above,25,-15,20,55,2077611,50.9,3.78
IREN,btc_pct_ma20,5,above,20,-20,30,28,2073841,64.3,7.41
NVDL,mstr_rsi,55,above,20,-15,20,32,2070606,68.8,6.48
PTIR,mstr_rsi,60,above,30,-20,45,12,2068977,75.0,17.26
IREN,btc_rsi,35,below,25,-15,20,26,2055370,61.5,7.91
CONL,btc_rsi,50,above,15,-20,30,62,2054575,53.2,3.32
PTIR,btc_rsi,50,above,25,-20,30,23,2047264,56.5,8.91
PTIR,mstr_pct_ma20,5,above,30,-20,45,13,2037702,69.2,15.69
IREN,btc_mstr_combo,60,above,15,-20,30,33,2035431,66.7,6.17
CONL,btc_pct_ma20,5,above,15,-15,20,39,2032363,59.0,5.22
PTIR,btc_ret3,5,above,20,-20,30,13,2027580,76.9,15.61
IREN,mstr_rsi,35,below,20,-15,20,31,2023849,54.8,6.54
CONL,btc_pct_ma20,0,above,12,-10,20,82,2023132,52.4,2.47
IREN,btc_ret3,3,above,25,-15,20,40,2020812,52.5,5.06
NVDL,btc_ret3,3,above,20,-20,30,34,2011434,64.7,5.92
NVDL,btc_ret3,3,above,25,-15,20,35,2009667,54.3,5.75
IREN,mstr_pct_ma20,5,above,12,-10,20,48,2007334,54.2,4.19
NVDL,btc_ret3,3,above,15,-15,20,39,2004145,59.0,5.14
PTIR,btc_pct_ma20,-5,above,20,-20,30,33,1998308,54.5,6.06
NVDL,mstr_rsi,55,above,25,-15,20,31,1991575,67.7,6.43
CONL,btc_rsi,40,above,20,-20,30,69,1991385,44.9,2.89
NVDL,mstr_rsi,55,above,30,-20,45,21,1989092,61.9,9.48
PTIR,btc_ret3,3,above,20,-20,30,20,1987903,65.0,9.95
NVDL,btc_momentum3,0,above,25,-20,30,38,1987646,50.0,5.24
IREN,btc_mstr_combo,60,above,15,-15,20,35,1987541,62.9,5.68
NVDL,mstr_rsi,55,above,15,-15,20,38,1986526,71.1,5.23
NVDL,btc_rsi,60,above,15,-20,30,33,1984547,75.8,6.02
NVDL,btc_pct_ma20,-5,above,15,-15,20,69,1984044,58.0,2.88
CONL,btc_momentum3,0,above,25,-15,20,72,1982953,47.2,2.76
NVDL,mstr_rsi,55,above,20,-20,30,27,1979809,70.4,7.34
IREN,btc_mstr_combo,60,above,12,-10,20,46,1978356,56.5,4.31
PTIR,mstr_rsi,60,above,25,-20,30,13,1974106,76.9,15.2
IREN,mstr_rsi,35,below,25,-15,20,29,1969772,51.7,6.8
CONL,btc_momentum3,0,above,25,-20,30,63,1968609,46.0,3.13
IREN,mstr_rsi,35,below,15,-15,20,34,1961230,58.8,5.77
PTIR,btc_rsi,50,above,20,-15,20,30,1955192,60.0,6.52
NVDL,btc_rsi,40,above,25,-20,30,42,1946051,54.8,4.64
IREN,mstr_rsi,35,below,20,-20,30,30,1916442,56.7,6.39
CONL,btc_pct_ma20,5,above,15,-20,30,36,1913466,61.1,5.32
NVDL,btc_rsi,60,above,15,-15,20,38,1886563,65.8,4.97
CONL,btc_ret3,3,above,25,-20,30,40,1879306,47.5,4.7
IREN,btc_ret3,5,above,12,-10,20,35,1873364,62.9,5.36
CONL,btc_pct_ma20,-5,above,25,-15,20,83,1861693,42.2,2.25
NVDL,btc_ret3,3,above,20,-15,20,37,1859532,56.8,5.03
IREN,btc_ret3,5,above,15,-20,30,29,1858514,65.5,6.42
CONL,btc_mstr_combo,55,above,12,-10,20,67,1854288,53.7,2.77
ROBN,mstr_rsi,35,below,12,-10,20,25,1853155,64.0,7.42
PTIR,btc_mstr_combo,60,above,25,-15,20,14,1852924,71.4,13.25
CONL,btc_pct_ma20,5,above,25,-20,30,28,1850967,50.0,6.62
ROBN,mstr_pct_ma20,0,above,30,-20,45,15,1849733,60.0,12.34
PTIR,btc_pct_ma20,5,above,25,-20,30,12,1848417,75.0,15.42
PTIR,btc_ret3,3,above,30,-20,45,16,1845211,62.5,11.54
CONL,btc_rsi,40,above,25,-20,30,63,1845145,38.1,2.93
PTIR,btc_ret3,5,above,25,-20,30,12,1836994,75.0,15.32
NVDL,btc_mstr_combo,60,above,25,-20,30,22,1825419,68.2,8.31
PTIR,btc_pct_ma20,5,above,20,-15,20,14,1823374,64.3,13.04
NVDL,btc_pct_ma20,5,above,30,-20,45,17,1820467,52.9,10.72
NVDL,mstr_rsi,55,above,12,-10,20,44,1819456,63.6,4.14
CONL,btc_ret3,3,above,20,-15,20,52,1818674,50.0,3.5
PTIR,btc_ret3,3,above,15,-20,30,22,1817369,72.7,8.27
PTIR,mstr_rsi,60,above,25,-15,20,15,1811803,73.3,12.09
NVDL,mstr_rsi,55,above,15,-20,30,33,1807755,72.7,5.48
IREN,mstr_pct_ma20,5,above,20,-20,30,30,1806283,60.0,6.03
IREN,btc_rsi,35,below,20,-15,20,28,1797657,64.3,6.43
IREN,mstr_rsi,60,above,30,-20,45,21,1794343,57.1,8.55
IREN,mstr_pct_ma20,5,above,30,-20,45,22,1785943,59.1,8.13
NVDL,btc_mstr_combo,60,above,15,-15,20,29,1780554,69.0,6.15
PTIR,btc_rsi,50,above,20,-20,30,25,1780123,56.0,7.13
CONL,btc_momentum3,0,above,30,-20,45,58,1778790,44.8,3.07
CONL,btc_ret3,3,above,25,-15,20,46,1778609,45.7,3.87
NVDL,btc_pct_ma20,5,above,25,-20,30,21,1758886,61.9,8.38
ROBN,mstr_pct_ma20,0,above,25,-20,30,15,1750924,66.7,11.68
NVDL,btc_mstr_combo,60,above,15,-20,30,26,1746427,73.1,6.72
NVDL,btc_pct_ma20,-5,above,20,-15,20,60,1744347,51.7,2.91
IREN,btc_pct_ma20,5,above,20,-15,20,29,1739064,58.6,6.0
ROBN,mstr_pct_ma20,0,above,15,-20,30,17,1729300,76.5,10.18
CONL,btc_pct_ma20,5,above,20,-15,20,35,1719206,51.4,4.92
CONL,btc_rsi,60,above,20,-20,30,37,1717186,54.1,4.65
NVDL,btc_momentum3,0,above,15,-15,20,56,1699776,55.4,3.04
CONL,btc_rsi,50,above,20,-15,20,58,1695541,44.8,2.93
IREN,btc_rsi,30,below,25,-15,20,22,1690716,59.1,7.69
