ticker,strategy,target,stop,hold,unit_mul,max_pyr,n,pnl,wr,avg,avg_layers
CONL,vix_falling_btc2,40,-20,30,2.0,3,25,7934978,40.0,4.79,1.72
IREN,bb_macd_adx_btc2,50,-25,45,2.0,1,14,7853361,71.4,28.08,1.0
BITX,ma_aligned_btc2_vol,80,-25,90,3.0,3,5,7846283,60.0,22.55,2.4
SOXL,bo10_btc2_qqq,80,-25,90,3.0,3,6,7846201,50.0,13.97,2.5
BITX,qqq_strong_macd,80,-25,90,2.0,3,12,7822428,33.3,5.99,2.08
TSLL,rsi7_80_btc2,50,-25,45,3.0,1,11,7818399,63.6,23.72,1.0
TSLL,consec3_surge,80,-25,90,3.0,3,9,7815525,44.4,8.8,2.67
CONL,consec4_btc1,40,-20,30,3.0,1,11,7782839,63.6,23.61,1.0
CONL,bb_macd_adx_btc2,50,-25,45,3.0,3,15,7781662,46.7,5.54,2.13
SOXL,vix_falling_btc2,80,-25,90,3.0,3,10,7752888,40.0,3.37,2.2
IREN,bb_macd_adx_btc2,40,-20,30,2.0,1,20,7726518,65.0,19.34,1.0
IREN,consec4_btc1,40,-20,30,2.0,3,12,7721204,58.3,13.1,1.75
BITX,vix_falling_btc2,80,-25,90,2.0,3,12,7710896,33.3,5.69,1.75
IREN,consec3_surge,40,-20,30,2.0,1,24,7704823,66.7,16.07,1.0
IREN,vix_falling_btc2,40,-20,30,2.0,1,26,7670365,57.7,14.77,1.0
IREN,bo10_btc2_qqq,40,-20,30,3.0,1,14,7619832,57.1,18.16,1.0
IREN,mstr5_btc2_qqq,40,-20,30,3.0,1,18,7607881,61.1,14.1,1.0
IREN,triple_regime_all,40,-20,30,2.0,1,19,7574139,63.2,19.95,1.0
IREN,bb_macd_adx_btc2,30,-20,30,2.0,1,20,7513532,70.0,18.8,1.0
IREN,mstr5_btc2_qqq,50,-25,45,2.0,3,15,7511008,46.7,8.13,1.93
SOXL,rsi7_80_btc2,50,-25,45,2.0,3,10,7506292,70.0,12.26,2.3
TQQQ,consec3_surge,80,-25,90,3.0,3,8,7471531,62.5,10.23,2.0
BITX,bb_macd_adx_btc2,80,-25,90,2.0,3,12,7462483,33.3,6.32,2.25
CONL,rsi7_80_btc2,60,-25,60,3.0,1,13,7437263,46.2,19.09,1.0
IREN,di_cross_surge_btc2,50,-25,45,3.0,1,15,7436467,60.0,16.54,1.0
IREN,bo10_btc2_qqq,50,-25,45,3.0,1,12,7411450,66.7,20.61,1.0
IREN,rsi_accel_btc2_vol,40,-20,30,3.0,1,14,7389509,57.1,17.61,1.0
CONL,consec3_surge,50,-25,45,3.0,1,19,7368168,47.4,12.94,1.0
CONL,hh_hl_rsi_btc,50,-25,45,3.0,1,21,7335081,47.6,11.65,1.0
TSLL,consec3_surge,50,-25,45,2.0,3,13,7332552,46.2,7.35,2.15
IREN,ma_aligned_btc2_vol,50,-25,45,3.0,1,8,7295597,75.0,30.43,1.0
SOXL,bo10_btc2_qqq,50,-25,45,3.0,3,9,7261911,66.7,11.07,2.0
IREN,di_cross_surge_btc2,30,-20,30,2.0,1,20,7261539,70.0,18.17,1.0
SOXL,consec3_surge,60,-25,60,3.0,1,12,7260064,66.7,20.19,1.0
IREN,di_cross_surge_btc2,50,-25,45,2.0,3,15,7237463,60.0,13.14,2.0
TSLL,hh_hl_rsi_btc,50,-25,45,3.0,3,12,7196227,58.3,8.06,2.0
CONL,triple_regime_strong,60,-25,60,3.0,1,18,7187896,44.4,13.32,1.0
SOXL,di_cross_surge_btc2,50,-25,45,2.0,3,15,7186116,53.3,5.36,2.0
IREN,vix_falling_btc2,30,-20,30,2.0,1,26,7178745,65.4,13.82,1.0
BITX,btc3_strong_rsi_accel,50,-25,45,2.0,3,7,7174127,71.4,18.98,2.0
TQQQ,consec4_btc1,80,-25,90,3.0,3,7,7126359,71.4,12.95,2.29
IREN,consec3_surge,30,-20,30,2.0,1,25,7098560,68.0,14.21,1.0
CONL,btc2_qqq_strong_vol,40,-20,30,3.0,1,18,7091541,50.0,13.15,1.0
SOXL,bb_macd_adx_btc2,50,-25,45,2.0,3,13,7087029,61.5,6.59,2.15
CONL,vix_falling_btc2,50,-25,45,3.0,1,24,7076952,41.7,9.84,1.0
SOXL,triple_regime_all,50,-25,45,2.0,3,13,7071786,69.2,6.61,2.15
CONL,triple_regime_strong,40,-20,30,2.0,3,21,7020844,47.6,4.29,1.76
CONL,consec4_btc1,80,-25,90,3.0,3,10,7017480,40.0,17.32,1.9
IREN,triple_regime_strong,40,-20,30,2.0,1,22,7009256,54.5,15.95,1.0
IREN,qqq_strong_macd,40,-20,30,2.0,1,25,6993700,56.0,14.0,1.0
CONL,rsi7_80_btc2,50,-25,45,3.0,1,14,6981007,57.1,16.64,1.0
TSLL,triple_regime_all,80,-25,90,3.0,3,9,6957143,33.3,8.6,1.89
SOXL,consec3_surge,50,-25,45,2.0,3,16,6948653,56.2,4.71,2.06
CONL,vix_falling_btc2,50,-25,45,3.0,3,21,6908846,38.1,1.06,1.86
IREN,qqq_strong_macd,50,-25,45,2.0,1,20,6870859,60.0,17.19,1.0
CONL,consec4_btc1,50,-25,45,3.0,3,10,6863167,50.0,16.27,2.0
TQQQ,vix_falling_btc2,80,-25,90,3.0,3,8,6841790,62.5,9.77,2.25
CONL,bb_macd_adx_btc2,50,-25,45,2.0,1,16,6829983,56.2,21.37,1.0
CONL,btc2_qqq_strong_vol,50,-25,45,2.0,3,15,6756191,40.0,7.1,1.67
IREN,triple_regime_strong,50,-25,45,3.0,1,17,6743650,58.8,13.24,1.0
IREN,triple_regime_strong,30,-20,30,2.0,1,24,6691224,62.5,13.95,1.0
CONL,triple_regime_strong,50,-25,45,3.0,1,21,6677421,42.9,10.61,1.0
TSLL,bb_macd_adx_btc2,50,-25,45,3.0,3,15,6672915,53.3,4.76,1.6
TQQQ,rsi7_80_btc2,80,-25,90,3.0,3,7,6662885,71.4,12.2,1.86
IREN,consec4_btc1,40,-20,30,3.0,1,13,6637553,61.5,17.04,1.0
CONL,ma_aligned_btc2_vol,60,-25,60,3.0,1,7,6614606,57.1,31.53,1.0
IREN,consec4_btc1,50,-25,45,2.0,1,10,6608562,70.0,33.08,1.0
SOXL,vix_falling_btc2,50,-25,45,3.0,3,15,6541742,60.0,2.42,2.07
IREN,vix_falling_btc2,50,-25,45,3.0,1,20,6521132,50.0,10.88,1.0
CONL,triple_regime_strong,80,-25,90,2.0,3,14,6470758,28.6,3.97,2.07
TSLL,consec3_surge,50,-25,45,3.0,1,13,6444671,76.9,16.54,1.0
TSLL,consec3_surge,40,-20,30,2.0,3,17,6424487,58.8,4.12,1.88
TSLL,rsi7_80_btc2,50,-25,45,3.0,3,10,6407803,50.0,10.15,2.0
CONL,hh_hl_rsi_btc,80,-25,90,2.0,3,15,6398305,26.7,3.66,2.33
CONL,qqq_strong_macd,50,-25,45,2.0,3,18,6369358,38.9,2.1,2.39
IREN,btc2_qqq_strong_vol,40,-20,30,2.0,1,18,6343091,61.1,17.64,1.0
IREN,qqq_strong_macd,30,-20,30,2.0,1,28,6314079,57.1,11.29,1.0
BITX,btc2_qqq_strong_vol,80,-25,90,2.0,3,9,6283887,44.4,13.02,2.0
CONL,bb_macd_adx_btc2,40,-20,30,3.0,1,19,6282063,52.6,11.03,1.0
SOXL,rsi7_80_btc2,60,-25,60,3.0,1,10,6280412,60.0,20.96,1.0
CONL,consec4_btc1,50,-25,45,2.0,1,10,6267457,70.0,31.37,1.0
BITX,di_cross_surge_btc2,80,-25,90,2.0,3,13,6237484,30.8,2.89,2.15
SOXL,triple_regime_all,60,-25,60,3.0,1,13,6224023,46.2,15.98,1.0
IREN,rsi_accel_btc2_vol,50,-25,45,2.0,1,11,6219711,72.7,28.3,1.0
CONL,triple_regime_all,60,-25,60,3.0,1,17,6200369,41.2,12.17,1.0
SOXL,qqq_strong_macd,80,-25,90,2.0,3,10,6185126,50.0,8.01,2.4
SOXL,consec4_btc1,60,-25,60,3.0,1,8,6184204,75.0,25.79,1.0
IREN,consec3_surge,60,-25,60,1.0,1,13,6155698,84.6,47.4,1.0
SOXL,consec4_btc1,80,-25,90,3.0,3,6,6142720,50.0,15.42,2.0
CONL,mstr5_btc2_qqq,80,-25,90,3.0,3,12,6127736,25.0,3.47,2.17
IREN,ma_aligned_btc2_vol,80,-25,90,2.0,3,6,6040350,50.0,30.31,2.17
SOXL,rsi7_80_btc2,50,-25,45,3.0,1,12,6029611,75.0,16.77,1.0
SOXL,hh_hl_rsi_btc,50,-25,45,2.0,3,16,6009701,68.8,2.95,2.19
CONL,qqq_strong_macd,50,-25,45,2.0,1,22,6004185,50.0,13.66,1.0
TSLL,btc3_strong_rsi_accel,50,-25,45,3.0,3,3,5990354,66.7,27.46,2.0
BITX,triple_regime_strong,80,-25,90,2.0,3,13,5939385,30.8,3.57,2.0
IREN,rsi7_80_btc2,40,-20,30,2.0,1,14,5920770,71.4,21.17,1.0
TSLL,consec3_surge,60,-25,60,3.0,1,12,5915467,58.3,16.45,1.0
CONL,di_cross_surge_btc2,60,-25,60,3.0,1,16,5864162,43.8,12.23,1.0
TSLL,vix_falling_btc2,50,-25,45,2.0,3,16,5863806,50.0,3.27,1.94
TQQQ,hh_hl_rsi_btc,80,-25,90,3.0,3,8,5818464,62.5,9.53,2.62
CONL,qqq_strong_macd,80,-25,90,2.0,3,15,5779569,26.7,1.91,2.27
IREN,rsi_accel_btc2_vol,40,-20,30,2.0,3,13,5777659,53.8,10.42,1.92
SOXL,di_cross_surge_btc2,80,-25,90,3.0,3,10,5771094,30.0,0.7,2.2
BITX,consec4_btc1,40,-20,30,2.0,3,9,5765444,66.7,13.57,2.0
