ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
PTIR,rsi7_hot_btc2,40,-20,30,1.0,2,False,11,4567961,63.6,18.27,1.55
NVDL,rsi7_hot_btc2,30,-20,30,1.5,2,False,20,4565327,50.0,4.07,1.55
IREN,btc_all_green,40,-20,45,1.0,3,False,11,4550875,72.7,20.31,1.64
CONL,bo10_btc1plus,30,-20,30,2.0,1,False,19,4550579,57.9,11.99,1.0
CONL,bo10_macd_btc,30,-20,30,2.0,1,False,19,4550579,57.9,11.99,1.0
PTIR,rsi14_65_btc2,50,-25,45,2.0,1,False,8,4546991,87.5,28.45,1.0
PTIR,btc_all_green,50,-25,45,1.0,3,False,6,4541718,66.7,28.07,1.83
PTIR,ma_align5_btc2,40,-20,45,1.0,3,False,13,4540515,53.8,12.25,1.85
IREN,consec3_btc2,40,-20,30,1.0,2,False,15,4527972,66.7,16.05,1.67
CONL,bo5_btc2,50,-25,45,2.0,1,False,16,4522708,50.0,14.15,1.0
PTIR,rsi14_65_btc2,30,-20,30,2.0,1,False,12,4518667,75.0,18.85,1.0
PTIR,surge_follow_btc,30,-15,20,1.5,1,False,20,4514192,70.0,15.06,1.0
CONL,surge_follow_btc,20,-12,15,2.0,1,False,53,4513590,47.2,4.26,1.0
CONL,ma_align5_btc2,30,-20,30,1.0,2,False,22,4513458,45.5,6.28,1.68
PTIR,surge_follow_btc,30,-20,30,1.0,2,False,15,4509160,73.3,15.25,1.8
CONL,consec3_btc2,40,-20,30,2.0,1,False,20,4505463,50.0,11.27,1.0
PTIR,rsi7_hot_btc2,40,-20,30,2.0,1,False,11,4505067,63.6,20.5,1.0
IREN,surge_strong_btc2,40,-20,45,1.0,3,False,21,4494472,42.9,4.61,1.62
CONL,rsi7_hot_btc2,40,-20,45,1.0,3,False,17,4475012,41.2,6.87,2.18
NVDL,bo10_vol_btc,50,-25,45,2.0,1,False,6,4473273,100.0,37.31,1.0
CONL,bo10_vol_btc,40,-20,30,2.0,1,False,12,4471894,58.3,18.65,1.0
NVDL,ret3_strong_btc,40,-20,45,1.0,3,False,12,4469006,66.7,14.28,2.17
NVDL,bo10_macd_btc,30,-20,30,2.0,1,False,15,4468690,73.3,14.91,1.0
PTIR,ma_align5_btc2,30,-20,30,1.5,2,False,13,4456285,61.5,12.0,1.54
IREN,bo10_vol_btc,50,-20,45,1.0,2,True,12,4452325,75.0,18.06,1.5
NVDL,rsi_accel,40,-20,45,1.0,3,False,15,4450119,40.0,3.69,2.13
IREN,rsi7_hot_btc2,20,-12,15,2.0,1,False,21,4448045,71.4,10.6,1.0
IREN,rsi14_65_btc2,40,-20,30,1.0,2,False,16,4442128,50.0,13.2,1.62
CONL,btc_ret3_8pct,30,-20,30,1.5,2,False,13,4437188,53.8,10.57,1.38
PTIR,rsi_accel,30,-20,30,1.0,2,False,11,4423346,72.7,20.7,1.73
PTIR,bo10_btc1plus,30,-20,30,1.5,2,False,13,4395896,69.2,9.38,1.77
NVDL,bo10_btc1plus,50,-25,45,2.0,1,False,12,4376878,66.7,18.26,1.0
