ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
IREN,btc1_qqq_bull_rsi,20,-15,20,3.0,30,9200315,70.0,10.23
PTIR,coin_bull_btc2,20,-20,30,3.0,15,9166887,80.0,20.39
PTIR,triple_surge,50,-25,45,3.0,7,9150873,85.7,43.62
CONL,vix_spike_recover,15,-15,20,3.0,54,9139894,59.3,5.65
PTIR,coin_rsi65_btc2,50,-25,60,3.0,6,9123528,83.3,50.74
IREN,btc1_qqq_bull_rsi,50,-25,60,2.0,17,9122467,64.7,26.86
IREN,coin_bull_btc2,80,-25,90,2.0,11,9119972,63.6,41.5
IREN,qqq_strong_consec,50,-25,60,3.0,17,9116127,58.8,17.89
CONL,btc2_qqq_strong,25,-15,20,3.0,29,9111434,58.6,10.48
CONL,qqq_strong_macd,40,-20,45,3.0,24,9097706,50.0,12.65
PTIR,coin_bull_btc2,40,-20,45,3.0,10,9095442,80.0,30.35
CONL,vix_spike_recover,60,-25,60,3.0,20,9073680,45.0,15.14
CONL,qqq_strong_macd,25,-20,30,3.0,32,9049677,56.2,9.44
CONL,vix_mid_btc1_rsi,15,-15,20,3.0,35,9041839,65.7,8.62
IREN,coin_ret5_btc2,25,-20,30,3.0,26,9038074,65.4,11.6
CONL,btc_qqq_coin_all,60,-25,60,3.0,17,9023481,47.1,17.71
CONL,triple_regime_all,60,-25,60,3.0,17,9023481,47.1,17.71
IREN,triple_regime_strong,40,-20,45,3.0,18,9012111,66.7,16.71
CONL,qqq_strong_macd,50,-25,45,3.0,22,9006278,50.0,13.66
IREN,coin_rsi65_btc2,40,-20,45,3.0,13,8996560,69.2,23.09
PTIR,btc_qqq_coin_all,80,-25,90,3.0,4,8984412,100.0,74.95
PTIR,soxl_ret5_pos,80,-25,90,3.0,9,8975038,55.6,33.27
PTIR,coin_bull_btc2,50,-25,45,3.0,10,8949601,80.0,29.86
PTIR,soxl_ret5_pos,20,-15,20,3.0,25,8948033,68.0,11.94
IREN,btc2_qqq_strong_vol,30,-20,30,3.0,20,8924002,65.0,14.89
CONL,btc2_qqq_strong,20,-15,20,3.0,34,8923187,61.8,8.76
CONL,coin_bull_btc2,15,-15,20,3.0,41,8912223,61.0,7.25
IREN,vix_low_btc2,80,-25,90,2.0,11,8905231,63.6,40.52
IREN,btc1_qqq_bull_rsi,30,-20,30,2.0,26,8901587,69.2,17.14
IREN,btc_qqq_coin_all,25,-15,20,3.0,20,8893832,80.0,14.84
NVDL,qqq_strong_consec,40,-20,45,3.0,13,8878193,84.6,22.79
PTIR,btc2_qqq_strong_vol,80,-25,90,3.0,5,8867189,60.0,59.17
IREN,coin_bull_btc2,40,-20,30,3.0,18,8865439,61.1,16.43
IREN,qqq_strong_macd,25,-20,30,3.0,28,8864088,60.7,10.56
IREN,qqq_strong_macd,20,-20,30,3.0,31,8859898,64.5,9.54
IREN,btc1_qqq_bull_rsi,30,-20,45,2.0,24,8850935,70.8,18.46
PTIR,vix_falling_btc2,50,-25,45,3.0,11,8844306,72.7,26.83
CONL,btc1_qqq_bull_rsi,60,-25,60,3.0,17,8813975,47.1,17.3
IREN,qqq_strong_consec,60,-25,60,2.0,16,8812139,62.5,27.57
IREN,triple_regime_all,50,-25,60,2.0,13,8804037,69.2,33.9
IREN,soxl_rsi60_qqq,25,-20,30,3.0,33,8790317,63.6,8.89
IREN,coin_ret5_btc2,60,-25,60,3.0,17,8785926,47.1,17.24
CONL,vix_spike_recover,20,-15,20,3.0,44,8776333,56.8,6.66
NVDL,btc2_qqq_bull_bo,80,-25,90,3.0,7,8763367,85.7,41.77
CONL,coin_pct10_qqq,80,-25,90,3.0,12,8753914,41.7,24.34
IREN,coin_ret5_btc2,80,-25,90,2.0,14,8753424,50.0,31.29
CONL,btc2_qqq_strong_vol,30,-20,45,3.0,22,8740241,54.5,13.26
NVDL,qqq_ret10_btc2,80,-25,90,3.0,6,8734163,83.3,48.57
IREN,triple_regime_strong,20,-20,30,3.0,27,8729696,66.7,10.79
IREN,btc_qqq_coin_all,40,-20,30,3.0,17,8720767,58.8,17.12
IREN,soxl_ret5_pos,60,-25,60,2.0,17,8717937,64.7,25.67
IREN,vix_spike_recover,25,-20,30,3.0,33,8717667,63.6,8.81
