ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
IREN,hh_hl_btc2,30,-20,45,2.0,19,6866287,68.4,18.09
IREN,vcp_breakout_btc1,40,-20,30,3.0,15,6864738,60.0,15.27
CONL,gap_hh_hl_btc2,50,-25,45,3.0,19,6862486,47.4,12.05
IREN,ma10_pull_vol,25,-20,30,3.0,10,6859313,80.0,22.89
IREN,gap_hh_hl_btc2,30,-20,45,2.0,16,6840938,75.0,21.4
CONL,hh_hl_ma_btc2,20,-15,20,3.0,31,6830616,54.8,7.35
IREN,hh_hl_ma_btc2,30,-15,20,3.0,24,6821868,58.3,9.48
PTIR,gap_fill_up_btc2,50,-20,45,3.0,9,6816648,55.6,25.27
CONL,bounce_btc2,50,-25,45,2.0,17,6813397,58.8,20.06
NVDL,hh_hl_btc2,50,-20,45,3.0,18,6800770,50.0,12.61
IREN,vcp_breakout_btc1,40,-20,45,3.0,14,6794273,57.1,16.19
PTIR,bounce_btc1_rsi,50,-20,45,3.0,8,6793142,75.0,28.33
CONL,hh_hl_ma_btc2,20,-20,30,3.0,30,6785938,60.0,7.55
IREN,vcp_breakout_btc1,50,-25,45,3.0,13,6785914,61.5,17.42
IREN,gap_up_btc2,50,-20,45,2.0,22,6781511,59.1,15.43
PTIR,hh_hl_btc2,20,-15,20,3.0,16,6747393,75.0,14.07
IREN,gap_up_btc2,50,-25,45,2.0,21,6744397,61.9,16.07
PTIR,vcp_squeeze_bo,15,-20,30,3.0,13,6738436,92.3,17.3
PTIR,hh_hl_rsi_btc,50,-20,45,3.0,12,6732002,58.3,18.72
PTIR,bounce_btc1_rsi,50,-25,45,3.0,8,6723199,75.0,28.04
IREN,bounce_btc2,25,-15,20,3.0,21,6711229,61.9,10.66
IREN,bounce_btc2,30,-20,30,2.0,19,6709345,78.9,17.67
CONL,hh_hl_rsi_btc,30,-20,30,3.0,28,6702971,50.0,7.99
IREN,vcp_squeeze_bo,30,-15,20,2.0,19,6698338,68.4,17.64
PTIR,doji_escape_btc2,50,-25,45,3.0,4,6695392,100.0,55.85
PTIR,doji_escape_btc2,50,-20,45,3.0,4,6695392,100.0,55.85
PTIR,ma10_pull_btc2,60,-25,60,2.0,7,6675234,85.7,47.73
PTIR,gap_fill_up_btc2,20,-15,20,3.0,12,6661560,83.3,18.52
IREN,gap_hh_hl_btc2,40,-20,45,3.0,16,6657466,56.2,13.88
IREN,nr5_bo_btc2,60,-25,60,2.0,7,6650045,85.7,47.55
IREN,gap_up3_vol_btc,40,-20,45,3.0,14,6648974,57.1,15.85
IREN,gap_up3_vol_btc,25,-20,30,3.0,19,6635761,63.2,11.65
NVDL,hh_hl_rsi_btc,15,-20,30,3.0,28,6630827,78.6,7.9
PTIR,gap_up_btc2,20,-15,20,3.0,14,6627197,71.4,15.79
NVDL,hh_hl_btc2,15,-20,30,3.0,28,6607026,78.6,7.87
NVDL,vcp_squeeze_bo,20,-15,20,3.0,23,6602966,69.6,9.58
CONL,gap_up_btc2,30,-20,30,3.0,30,6583571,46.7,7.32
CONL,vcp_squeeze_bo,40,-20,30,3.0,13,6582347,61.5,16.89
IREN,bounce_btc2,25,-20,30,2.0,19,6574943,78.9,17.32
IREN,gap_up_btc2,40,-20,30,2.0,25,6574592,60.0,13.16
CONL,hh_hl_rsi_btc,40,-20,45,2.0,24,6573303,50.0,13.71
PTIR,gap_up3_btc1,15,-20,30,3.0,18,6564774,83.3,12.17
CONL,gap_up3_btc1,30,-20,45,3.0,37,6560738,45.9,5.92
IREN,gap_fill_up_btc2,20,-20,30,3.0,19,6550926,73.7,11.5
IREN,nr5_bo_btc2,40,-20,30,3.0,8,6550164,87.5,27.32
CONL,gap_up3_btc1,40,-20,30,3.0,31,6548405,45.2,7.05
IREN,gap_up3_btc1,40,-20,45,2.0,21,6535718,66.7,15.58
PTIR,bounce_btc2,50,-20,45,3.0,7,6517630,71.4,31.07
PTIR,ma10_pull_btc2,30,-20,45,3.0,8,6495934,75.0,27.09
IREN,ma10_pull_vol,50,-25,45,2.0,9,6495756,77.8,36.12
PTIR,bounce_btc2,25,-20,30,3.0,8,6487362,75.0,27.06
NVDL,hh_hl_btc2,40,-20,45,3.0,18,6480327,55.6,12.01
CONL,vcp_squeeze_bo,25,-20,30,3.0,15,6475057,66.7,14.4
PTIR,ma10_pull_btc2,30,-15,20,3.0,8,6473779,75.0,27.0
CONL,gap_up3_vol_btc,30,-15,20,3.0,23,6469530,52.2,9.39
